count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
7586,2019,1,"South West",71,Devon,A3072,Major,"A3124 The Barton","A377 Copplestone",270000,101720,50.80041500,-3.84612840,11.00,6.84,Estimated,"Estimated using previous year's AADF on this link",11,77,2377,27,660,81,32,15,12,19,53,212,3352
27059,2019,1,"South West",71,Devon,A388,Major,B3227,A386,244970,120000,50.95851500,-4.20881420,10.70,6.65,Counted,"Manual count",1,15,2245,28,628,59,20,13,12,26,28,157,3073
6407,2019,1,"South West",71,Devon,A379,Major,"Sannerville Way Rndbt","Glasshouse Lane",294000,89374,50.69432300,-3.50213960,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",532,605,29626,255,5923,506,177,76,49,84,107,998,37407
8622,2019,1,"South West",71,Devon,A3079,Major,"A3072 Dunsland Cross","A386 Fowley Cross Rndbt",244300,100000,50.77862000,-4.20982840,20.80,12.92,Estimated,"Estimated using previous year's AADF on this link",5,11,2641,28,603,78,21,24,9,27,46,205,3488
6972,2019,1,"South West",71,Devon,A358,Major,A3052,"A358 spur",327332,94777,50.74802900,-3.03138260,5.80,3.60,Estimated,"Estimated using previous year's AADF on this link",38,71,5430,62,1154,106,23,25,7,5,10,175,6893
7016,2019,1,"South West",71,Devon,A381,Major,A380/A383,"Broadmeadow Lane, Teignmouth",290561,73297,50.54916100,-3.54606340,5.10,3.17,Estimated,"Estimated using previous year's AADF on this link",13,108,12344,88,2255,152,35,14,9,26,11,247,15042
74875,2019,1,"South West",71,Devon,A38,Major,"B3352  slip road","B3352  North turn-off",275110,69000,50.50743700,-3.76260710,0.60,0.37,Estimated,"Estimated from nearby links",241,293,38631,363,5968,575,129,154,66,248,305,1477,46733
28749,2019,1,"South West",71,Devon,A3121,Major,A379,A38,265000,53525,50.36610000,-3.89952480,10.10,6.28,Estimated,"Estimated using previous year's AADF on this link",11,17,1880,17,436,62,17,8,4,5,1,97,2447
27045,2019,1,"South West",71,Devon,A381,Major,"Forde Park",A380,287000,70720,50.52531700,-3.59552360,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",292,415,34130,314,5626,547,80,29,20,59,60,795,41280
36328,2019,1,"South West",71,Devon,A30,Major,"A388 Liftondown","A386 bridge (mid-junction)",240000,87751,50.66738400,-4.26545300,18.90,11.74,Estimated,"Estimated using previous year's AADF on this link",3,91,19078,93,3089,400,132,79,99,412,639,1760,24110
56745,2019,1,"South West",71,Devon,A377,Major,B3220,"B3226 Fortescue Cross",269861,109684,50.87196300,-3.85093020,17.20,10.69,Estimated,"Estimated using previous year's AADF on this link",3,25,1562,30,419,39,22,7,6,7,16,98,2133
7029,2019,1,"South West",71,Devon,A388,Major,A3072,B3227,240000,112600,50.89066500,-4.27627320,15.50,9.63,Estimated,"Estimated using previous year's AADF on this link",0,7,2069,20,609,62,30,28,29,8,13,170,2875
56414,2019,1,"South West",71,Devon,A379,Major,A3015,"M5 Junction 30",296118,91091,50.71014100,-3.47264660,2.10,1.30,Counted,"Manual count",3,231,28332,71,3993,374,162,144,35,97,241,1053,33679
27051,2019,1,"South West",71,Devon,A384,Major,A38(T),"C road to Staverton",275000,66000,50.48044700,-3.76315310,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",12,63,6657,101,1639,211,64,53,10,24,37,400,8861
48094,2019,1,"South West",71,Devon,A3126,Major,A396,"Park Hill",295000,113072,50.90753800,-3.49477010,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",61,103,10261,108,1498,126,40,12,21,19,34,252,12222
38207,2019,1,"South West",71,Devon,A377,Major,"B3226 Fortescue Cross","B3227 Nr Umberleigh",264910,118182,50.94720000,-3.92440130,11.80,7.33,Counted,"Manual count",17,27,1350,11,339,37,7,4,13,1,4,66,1792
37079,2019,1,"South West",71,Devon,A385,Major,"A385 split",A384,275000,60360,50.42975000,-3.76126890,7.20,4.47,Estimated,"Estimated using previous year's AADF on this link",1,92,4484,71,1583,256,46,8,10,29,41,391,6620
28353,2019,1,"South West",71,Devon,A381,Major,A385,"East St",283281,64103,50.46510400,-3.64589830,7.90,4.91,Estimated,"Estimated using previous year's AADF on this link",8,143,6130,62,1175,99,21,27,9,4,3,164,7673
46416,2019,1,"South West",71,Devon,A38,Major,A383,"A382 Newton Road",280000,72861,50.54316700,-3.69492240,5.70,3.54,Estimated,"Estimated using previous year's AADF on this link",2,133,27417,128,8460,1202,302,233,128,794,577,3235,39372
70037,2019,1,"South West",71,Devon,A3072,Major,"A3124 Culm Cross","A3124 The Barton",265722,100405,50.78762100,-3.90631890,2.60,1.62,Estimated,"Estimated using previous year's AADF on this link",1,30,1891,9,607,97,30,64,18,59,87,355,2891
47077,2019,1,"South West",71,Devon,A377,Major,"B3183 New North Road",A396,290930,95000,50.74432900,-3.54725380,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",211,155,10971,218,1755,149,71,39,10,66,31,366,13465
27053,2019,1,"South West",71,Devon,A385,Major,A381,"C road towards Aish",281000,60445,50.43176200,-3.67685940,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",26,224,16010,101,3441,221,61,25,19,21,47,394,20170
47643,2019,1,"South West",71,Devon,A3072,Major,"A3079 Dunsland Cross","C Road Nr Beara Court",244332,104256,50.81687300,-4.21117980,6.70,4.16,Estimated,"Estimated using previous year's AADF on this link",6,6,1313,5,333,47,16,5,14,11,31,123,1780
37098,2019,1,"South West",71,Devon,A396,Major,"Stoke Hill",A3072,294818,100000,50.78999500,-3.49359910,11.10,6.90,Estimated,"Estimated using previous year's AADF on this link",36,129,6075,92,1017,36,7,10,8,3,6,70,7384
37882,2019,1,"South West",71,Devon,A30,Major,A377,"M5 Junction 31",291412,89247,50.69270400,-3.53872990,3.60,2.24,Counted,"Manual count",0,308,39706,82,8954,745,258,241,191,417,1298,3150,52200
37082,2019,1,"South West",71,Devon,A386,Major,"B3212  Dousland Road",A390,249386,71535,50.52416200,-4.12615800,8.60,5.34,Estimated,"Estimated using previous year's AADF on this link",21,234,12205,147,2176,233,44,26,7,23,34,366,15128
