local_authority_id,local_authority_name,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
71,Devon,2020,13026.292,8094.16,3406731999,4566060227
71,Devon,2019,13007.403,8082.43,4649426146,5952157163
71,Devon,2018,13011.2855,8084.84,4502970946,5779010991
71,Devon,2017,13027.22,8094.74,4477925562,5740010409
71,Devon,2016,13033.43,8098.6,4251323414,5483576441
71,Devon,2015,13009.11,8083.49,4056005441,5225323827
71,Devon,2014,13036.62,8100.58,4014597795,5126343462
71,Devon,2013,13036.60085,8100.57,3913219957,4970347537
71,Devon,2012,13025.35939,8093.58,3845008457,4867941653
71,Devon,2011,13019,8089.63,3860772193,4887370013
71,Devon,2010,13026.4,8094.23,3878096251,4890065574
71,Devon,2009,13054.7,8111.81,3903858064,4909894831
71,Devon,2008,13098.97,8139.32,3895919131,4933860302
71,Devon,2007,13134.17,8161.19,3799835600,4836666584
71,Devon,2006,13124.2,8155,3848252841,4848650560
71,Devon,2005,12954.7,8049.68,3822314238,4805656803
71,Devon,2004,12954.4,8049.49,3760181765,4707540649
71,Devon,2003,12937.916,8039.25,3676249300,4578838505
71,Devon,2002,12917.9,8026.81,3655487670,4545499082
71,Devon,2001,12898.6,8014.82,3517719624,4389826710
71,Devon,2000,12879,8002.64,3428898649,4282048222
71,Devon,1999,12859.8,7990.71,3400443496,4244576142
71,Devon,1998,12836.851,7976.45,3425340278,4233015839
71,Devon,1997,12815.164,7962.97,3377147383,4151468549
71,Devon,1996,12791.083,7948.01,3305606176,4045257374
71,Devon,1995,12774.448,7937.67,3222089834,3934123467
71,Devon,1994,12749.901,7922.42,3156721314,3847445419
71,Devon,1993,12729.439,7909.71,3068623764,3735322796
